Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kayla-white-3-d-floral-embroidered-midi-skirt,Kayla White 3-D Floral Embroidered Midi Skirt,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Get ready to fall in love with our Kayla 3-D Floral Midi Skirt. Made with a breathtaking, 3-D floral embroidered fabric, our Kayla comes in a midi style with a flattering trumpet silhouette that truly lets the gorgeous fabric shine. And easy-to-wear, slip-on style makes it the perfect summer staple!</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made with White 3-D<span data-mce-fragment=""1""> </span><meta charset=""utf-8"">Floral Embroidered Fabric. Fully Lined.</li>
<li data-mce-fragment=""1"">Midi Skirt in a Trumpet Silhouette. </li>
<li data-mce-fragment=""1"">Concealed Zip Closure to the Side.</li>
</ul>
<p data-mce-fragment=""1"">Where to Wear: Pair our Kayla with our Kaia 3-D Floral Embroidered Corset for the perfect all-white summer look!</p>",Lea Clothing Co.,Apparel & Accessories > Clothing > Skirts,,"Birthday, Bodycon, Bridal Shower, Date Night, Embroidered, Floral, Graduation, High waist, Hourglass, Inverted Triangle, midi, midi skirt, Neutral, Other, Pear, Rectangle, Summer Fling, Trumpet",true,Size,XS,,,,,"",0.0,shopify,6,deny,manual,4290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9652_2f8c143d-f577-404b-920e-2387724f448f.jpg?v=1652701729,1,,false,,,,,,,,,,,,,,,,,kg,,,active
kayla-white-3-d-floral-embroidered-midi-skirt,,,,,,,,,S,,,,,"",0.0,shopify,8,deny,manual,4290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9713_29fee362-2c2d-4152-bf69-276d22a8025c.jpg?v=1652701729,2,,,,,,,,,,,,,,,,,,,kg,,,
kayla-white-3-d-floral-embroidered-midi-skirt,,,,,,,,,M,,,,,"",0.0,shopify,8,deny,manual,4290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9669_ac11466d-bc22-4430-a9f1-1465ec8a3dbb.jpg?v=1652701729,3,,,,,,,,,,,,,,,,,,,kg,,,
kayla-white-3-d-floral-embroidered-midi-skirt,,,,,,,,,L,,,,,"",0.0,shopify,8,deny,manual,4290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9712_2034a404-6174-47cc-8827-d093c264f58c.jpg?v=1652701730,4,,,,,,,,,,,,,,,,,,,kg,,,
kayla-white-3-d-floral-embroidered-midi-skirt,,,,,,,,,XL,,,,,"",0.0,shopify,5,deny,manual,4290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9696_ff2d4c99-8b8b-4797-8012-37c16fbd4125.jpg?v=1652701730,5,,,,,,,,,,,,,,,,,,,kg,,,
kayla-white-3-d-floral-embroidered-midi-skirt,,,,,,,,,2XL,,,,,"",0.0,shopify,4,deny,manual,4290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9672_c4f7ed47-10c3-4730-94f3-31d1dbd8649f.jpg?v=1652701730,6,,,,,,,,,,,,,,,,,,,kg,,,
kayla-white-3-d-floral-embroidered-midi-skirt,,,,,,,,,3XL,,,,,"",0.0,shopify,3,deny,manual,4290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9693_07fc8890-04d7-4b47-8af0-89245430cca4.jpg?v=1652705560,7,,,,,,,,,,,,,,,,,,,kg,,,
kayla-white-3-d-floral-embroidered-midi-skirt,,,,,,,,,4XL,,,,,"",0.0,shopify,2,deny,manual,4290.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
kayla-white-3-d-floral-embroidered-midi-skirt,,,,,,,,,5XL,,,,,"",0.0,shopify,2,deny,manual,4290.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
white-embroidered-floral-corset-set,Kaia White 3-D Floral Embroidered Corset,"<p>Get ready to fall in love with our Kaia 3-D Floral Embroidered Corset. Made with a breathtaking, 3-D floral embroidered fabric, our Kaia comes with our signature boned corsetry, with a flattering asymmetrical hemline, and a bustier style that provides support and lift. Delicate ruffled sleeves along with lace-detailing at the neckline complete this angelic look!</p>
<ul>
<li>Made with White 3-D <meta charset=""utf-8"">Floral Embroidered Fabric. Partially Lined.</li>
<li>Bustier-Style Bodice with Boned Corsetry and Underwire Detailing.</li>
<li>Sweetheart Neckline and Delicate Ruffled Straps with Lace Detailing.</li>
<li>Exposed Metallic Zip Closure at the Back.</li>
</ul>
<p>Where to Wear: Pair our Kaia with our Kayla 3-D Floral Embroidered Midi Skirt for the perfect all-white summer look!</p>",Lea Clothing Co.,,Corset,"Birthday, Bridal Shower, bustier, Bustier Top, corset, corset top, Cottagecore, crop top, Date Night, Embroidered Top, Floral, Graduation, Hourglass, Neutral, Other, Pear, Rectangle, Sleeveless, Summer Fling",true,Size,XS,,,,,"",0.0,shopify,6,deny,manual,4890.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9704.jpg?v=1652705742,1,,false,,,,,,,,,,,,,,,,,kg,,950.00,active
white-embroidered-floral-corset-set,,,,,,,,,S,,,,,"",0.0,shopify,8,deny,manual,4890.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9674.jpg?v=1652705470,2,,,,,,,,,,,,,,,,,,,kg,,950.00,
white-embroidered-floral-corset-set,,,,,,,,,M,,,,,"",0.0,shopify,8,deny,manual,4890.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9693.jpg?v=1652705470,3,,,,,,,,,,,,,,,,,,,kg,,950.00,
white-embroidered-floral-corset-set,,,,,,,,,L,,,,,"",0.0,shopify,8,deny,manual,4890.00,,true,true,"",https://cdn.shopify.com/s/files/1/0518/6768/0952/products/lea9712_e2e205db-a0af-4ae3-a0dc-0ba21bb54849.jpg?v=1652705470,4,,,,,,,,,,,,,,,,,,,kg,,950.00,
